902D	2.00	19970627	1	"From IR ODP, 150, p. 68"
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	8.94
2	12.5 	21.29
3	22.0	31.68
4	31.5	41.47
5	41.0	48.38
6	50.5	60.8
7	60.0	70.93
8	69.5	79.79
9	79.0	88.42
10	88.5	95.91
11	98.0	108.51
12	107.5	108.97
13	117.0	123.92
14	126.5	130.88
15	131.0	134.8
16	135.0	139.93
17	140.0	145.13
18	145.0	152.81
19	152.0	156.21
20	161.5	171.51
21	170.9	180.9
22	180.3	190.14
23	190.2	200.07
24	199.8	209.66
25	209.4	219.25
26	219.1	229.01
27	228.8	238.68
28	238.4	248.24
29	248.1	238.01
30	257.7	267.6
31	267.3	277.19
32	277.0	286.9
33	286.6	292.99
34	296.3	300.46
35	305.9	315.74
36	315.5	325.35
37	325.1	335.01
38	334.8	344.15
39	344.4	353.29
40	354.0	363.93
41	363.6	373.49
42	373.3	382.8
43	382.9	392.63
44	392.6	401.82
45	402.2	405.15
46	411.9	424.61
47	421.2	420.17
48	430.6	438.99
49	440.0	448.46
50	449.3	459.14
51	458.9	468.56
52	468.6	478.16
53	478.2	488.07
54	487.9	497.73
55	497.6	507.58
56	507.2	515.98
57	517.0	525.73
58	526.7	536.64
59	536.0	542.16
60	545.5	551.74
61	555.0	564.82
62	564.6	574.54
63	574.4	584.2
64	584.0	593.93
65	593.7	597.02
66	603.3	612.9
67	613.0	622.87
68	622.2	632.02
69	631.9	641.7
70	641.6	651.43
71	651.2	661.14
72	660.9	670.83
73	670.5	678.83
74	680.2	688.25
75	689.9	694.79
76	699.5	709.3
77	709.2	712.56
78	718.8	720.13
79	722.8	726.49
80	728.4	729.12
81	733.4	733.69
82	736.1	736.43
