903C	2.00	19970627	1	"From IR ODP, 150', p. 132"
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	485.5	485.5
2	489.8	489.8
3	493.8	493.8
4	500.6	500.6
5	506.6	508.45
6	510.3	510.99
7	515.3	523.42
8	525.0	525.11
9	586.5	590.45
10	592.1	600.07
11	601.8	604.83
12	688.6	695.71
13	698.2	702.53
14	707.8	715.52
15	717.2	722.88
16	727.0	733.38
17	736.8	744.15
18	746.5	751.05
19	756.2	762.49
20	765.9	775.78
21	775.5	785.21
22	785.2	794.76
23	794.9	804.54
24	804.1	806.05
25	813.8	818.68
26	823.5	823.55
27	833.1	834.65
28	842.7	846.39
29	852.4	860.43
30	862.1	862.1
31	871.7	875.18
32	881.4	886.51
33	891.1	900.63
34	900.7	903.06
35	910.4	920.42
36	920.0	923.64
37	929.7	939.2
38	939.0	948.38
39	948.6	957.66
40	958.2	966.35
41	967.5	974.88
42	977.2	977.2
43	986.8	986.97
44	996.5	998.8
45	1006.2	1010.14
46	1015.8	1016.06
47	1025.5	1028.57
48	1029.1	1033.83
49	1035.1	1045.06
50	1044.8	1044.8
51	1054.4	1064.36
52	1064.1	1072.95
53	1073.8	1080.89
54	1083.4	1092.55
55	1092.8	1091.78
56	1102.3	1112.4
57	1111.5	1117.59
58	1121.1	1131.06
59	1130.6	1136.5
60	1140.0	1149.95
