906A	2.00	19970627	1	"From IR ODP, 150, p. 313"
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	8.72
2	9.5	19.4
3	18.5	28.43
4	28.0	37.87
5	37.5	47.47
6	47.0	55.38
7	53.0	62.95
8	62.5	72.37
9	72.0	81.81
10	81.9	91.5 
11	91.5	101.34
12	101.2	111.04
13	110.8	120.69
14	120.5	130.39
15	130.1	139.81
16	139.7	149.68
17	149.4	159.63
18	159.0	168.89
19	168.7	178.37
20	178.3	188.11
21	188.0	197.83
22	197.6	207.84
23	207.5	217.42
24	216.8	226.38
25	226.5	235.46
26	236.0	245.46
27	245.7	253.08
28	255.3	265.17
29	265.1	274.91
30	274.8	284.07
31	284.6	292.31
32	294.4	293.34
33	304.2	312.21
34	314.0	323.78
35	323.8	332.34
36	333.2	340.94
37	342.5	352.06
38	352.2	360.55
39	361.8	369.6
40	371.5	381.02
41	381.1	385.11
42	390.8	392.92
43	400.3	400.5
44	409.8	410.17
45	419.3	425.43
46	428.8	437.39
47	438.6	447.49
48	448.2	457.93
49	457.9	464.9
50	467.5	476.83
51	477.2	485.16
52	486.8	495.99
53	496.5	506.27
54	506.2	516.08
55	515.8	525.44
56	525.3	535.16
57	534.8	544.1
58	544.5	551.1
59	554.2	555.48
60	563.8	565.23
61	565.5	565.92
62	567.5	568.5
63	573.5	573.78
64	583.2	584.07
65	586.3	587.43
66	592.8	594.25
67	594.4	594.89
68	598.9	599.15
