909C	2.00	19970708	1	"From IR ODP, 151, p. 163"
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	85.0	86.41
2	94.6	94.6
3	104.3	107.53
4	113.9	117.55
5	123.6	124.24
6	133.2	138.41
7	142.9	148.96
8	152.6	160.35
9	162.3	169.18
10	171.9	181.65
11	181.6	190.09
12	191.2	198.07
13	200.8	209.86
14	210.5	218.88
15	220.1	226.04
16	229.6	236.06
17	239.2	247.61
18	248.8	249.0
19	258.5	258.53
20	268.1	268.35
21	277.8	277.8
22	287.5	296.47
23	297.1	302.75
24	306.8	314.58
25	316.4	321.89
26	326.0	334.76
27	335.7	341.87
28	345.3	351.24
29	354.9	363.71
30	364.6	364.84
31	374.1	382.84
32	383.6	391.36
33	393.1	402.4
34	402.8	411.3
35	412.4	422.26
36	422.1	431.35
37	431.7	441.37
38	441.3	445.81
39	451.0	453.21
40	460.6	467.85
41	470.3	480.14
42	480.0	488.09
43	489.5	499.38
44	499.0	507.97
45	508.6	516.8
46	518.3	524.66
47	528.0	536.47
48	537.7	546.78
49	547.3	557.11
50	556.9	562.19
51	566.6	573.06
52	576.2	581.73
53	585.8	593.55
54	595.5	599.20
55	605.1	614.46
56	614.8	615.77
57	624.4	632.38
58	634.1	636.11
59	643.7	652.25
60	653.4	662.29
61	663.0	670.24
62	672.7	682.59
63	682.3	687.52
64	692.0	699.8
65	701.6	711.16
66	711.1	714.05
67	720.8	730.65
68	730.4	735.64
69	740.0	749.43
70	749.6	757.93
71	759.3	768.47
72	769.0	778.22
73	778.7	787.3
74	788.3	796.03
75	798.0	807.89
76	807.6	817.37
77	817.3	823.62
78	827.0	831.67
79	836.6	836.6
80	846.2	855.92
81	855.9	861.97
82	865.5	868.09
83	875.1	880.64
84	884.8	891.34
85	894.4	896.95
86	904.1	907.81
87	913.8	916.41
88	923.4	926.61
89	933.1	936.16
90	942.8	946.17
91	952.4	953.72
92	962.1	965.13
93	971.7	974.64
94	981.3	984.88
95	990.7	992.67
96	1000.4	1001.99
97	1010.0	1011.27
98	1019.7	1021.96
99	1029.2	1030.89
100	1038.8	1041.12
101	1048.4	1050.7
102	1052.7	1058.15
103	1058.0	1062.34
