913B	2.00	19970709	1	"From IR ODP, 151, p. 352"
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	86.0	86.03
2	95.6	95.68
3	105.2	105.54
4	114.9	115.10
5	124.5	124.65
6	134.1	134.1
7	143.8	145.35
8	153.4	154.26
9	163.1	164.26
10	172.7	173.86
11	220.8	220.85
12	230.4	230.45
13	240.0	241.38
14	288.4	288.54
15	298.0	298.09
16	307.7	307.7
17	355.9	355.9
18	365.5	365.53
19	375.2	382.36
20	423.5	428.02
21	433.1	438.92
22	442.8	449.21
23	452.4	453.88
24	462.0	469.15
25	471.6	481.48
26	481.1	490.88
27	490.7	499.79
28	500.3	508.17
29	509.9	517.31
30	519.5	526.72
31	529.2	531.89
32	538.8	546.17
33	548.4	557.19
34	558.1	566.27
35	567.7	576.97
36	577.4	583.25
37	587.1	594.32
38	596.7	604.51
39	606.4	615.15
40	616.0	625.67
41	625.7	632.77
42	635.4	642.45
43	645.1	653.34
44	654.7	661.53
45	664.4	666.64
46	674.1	678.31
47	683.7	688.08
48	693.0	695.32
49	702.7	709.87
50	712.3	717.8
51	721.9	722.13
52	731.6	731.6
53	741.3	741.3
54	751.0	751.0
55	760.7	760.73
