918a	2.00	19980917	1	From IR ODP 152, p.192
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0.0	1.81
2	1.8	10.94
3	11.3	20.23
4	20.8	30.56
5	30.3	40.06
6	39.8	49.81
7	49.3	59.25
8	58.8	68.46
9	68.3	78.24
10	77.8	87.88
11	87.3	97.18
12	96.8	106.32
13	106.3	116.24
14	115.8	123.38
15	125.3	133.37
16	133.3	143.20
17	142.8	152.61
18	152.3	162.18
19	161.8	171.65
20	171.3	177.22
21	181.5	185.76
22	190.9	192.30
23	199.8	208.56
24	208.7	218.11
25	217.6	227.28
26	226.5	234.42
27	235.2	244.10
28	244.1	251.43
29	252.8	254.13
30	261.7	261.93
31	270.6	279.37
32	279.5	281.04
33	288.4	290.70
34	297.3	297.30
35	306.2	306.84
36	309.1	309.10
37	315.1	323.02
38	323.9	324.39
