 918d	2.00	19980917	1	From IR ODP 152, p.192
CORE	TOP DEPTH	B TTOM DEPTH OR BASE RECOVERED SEDS
1	253.2	253.80
2	262.0	262.00
3	271.0	271.00
4	324.0	324.14
5	332.8	332.98
6	341.7	341.78
7	350.6	350.73
8	359.5	359.67
9	368.4	368.64
10	377.2	377.43
11	386.1	387.37
12	395.0	395.05
13	403.9	405.38
14	412.8	415.51
15	421.7	422.20
16	430.4	430.40
17	439.3	439.30
18	448.2	449.16
19	457.1	457.31
20	466.1	466.10
21	474.9	475.10
22	483.8	488.01
23	493.6	493.79
24	503.2	506.87
25	512.8	517.91
26	522.5	522.53
27	532.1	536.49
28	541.8	546.90
29	551.4	554.22
30	561.0	561.19
31	570.7	571.85
32	580.3	581.77
33	590.0	591.59
34	599.6	601.69
35	609.2	612.46
36	618.9	623.17
37	628.6	635.02
38	638.2	646.44
39	647.9	656.49
40	657.5	665.20
41	667.2	675.91
42	676.8	685.87
43	686.4	689.36
44	696.1	703.61
45	705.3	705.34
46	715.0	715.10
47	724.6	726.70
48	734.2	734.20
49	743.9	743.95
50	753.6	753.60
51	763.2	771.86
52	772.9	780.21
53	782.5	792.25
54	792.1	792.38
55	801.8	809.78
56	811.4	811.57
57	821.0	826.16
58	830.7	831.80
59	840.4	840.50
60	850.0	850.35
61	859.6	859.60
62	869.3	871.73
63	878.9	881.40
64	888.5	888.53
65	898.1	898.29
66	905.7	905.97
67	915.3	915.37
68	925.0	926.09
69	934.7	934.70
70	944.4	944.40
71	954.0	954.09
72	963.7	964.42
73	973.0	973.00
74	982.7	983.88
75	992.3	996.99
76	1002.0	1003.29
77	1011.6	1012.20
78	1021.2	1021.90
79	1030.9	1031.45
80	1040.6	1041.47
81	1050.3	1050.30
82	1060.0	1060.00
83	1069.6	1071.01
84	1079.3	1080.57
85	1088.9	1089.04
86	1098.5	1101.22
87	1108.2	1108.39
88	1117.8	1119.03
89	1127.4	1132.20
90	1137.1	1140.31
91	1146.5	1148.00
92	1156.2	1158.40
93	1165.8	1168.42
94	1175.4	1178.01
95	1180.4	1183.84
96	1185.1	1189.04
97	1194.7	1202.04
98	1204.4	1206.36
99	1206.5	1210.08
100	1214.0	1216.37
101	1223.7	1226.20
102	1233.3	1235.34
103	1240.5	1243.15
104	1243.0	1246.00
105	1247.6	1250.55
106	1252.6	1257.15
107	1257.2	1259.33
108	1262.2	1265.21
109	1266.9	1270.17
110	1271.9	1277.73
111	1281.5	1284.67
112	1290.9	1293.57
113	1300.5	1302.28
