925b	2.00	19981120	1	From IR ODP 154, p.58
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	4.49
2	4.5	14.1
3	14.0	23.51
4	23.5	33.36
5	33.0	42.34
6	42.5	52.19
7	52.0	61.68
8	61.5	71.30
9	71.0	80.69
10	80.5	90.32
11	90.0	99.72
12	99.5	109.35
13	109.0	118.78
14	118.5	128.15
15	128.0	137.42
16	137.5	147.11
17	147.0	156.82
18	156.5	166.25
19	166.0	175.77
20	175.5	185.23
21	185.0	194.93
22	194.5	204.61
23	204.0	214.02
24	213.5	223.34
25	223.0	233.07
26	232.5	242.61
27	242.0	252.02
28	251.5	261.59
29	261.0	271.25
30	270.5	280.56
31	280.0	290.01
32	289.5	299.66
33	299.0	308.94
34	308.5	318.52
