925d	2.00	19981120	1	From IR ODP 154, p.58-59
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	2.5	12.48
2	12.0	21.96
3	21.5	31.31
4	31.0	40.71
5	40.5	50.24
6	50.0	60.0
7	59.5	68.29
8	69.0	78.12
9	78.5	88.58
10	88.0	98.13
11	97.5	107.27
12	107.0	116.82
13	116.5	126.62
14	126.0	135.84
15	135.5	145.41
16	145.0	154.97
17	154.5	164.65
18	164.0	173.89
19	173.5	183.71
20	183.0	192.35
21	192.5	202.61
22	202.0	211.45
23	211.5	221.34
24	221.0	231.16
25	230.5	240.64
26	240.0	250.15
27	249.5	258.73
28	259.0	269.00
29	268.5	277.61
30	278.0	277.97
31	287.5	297.67
32	297.0	307.02
33	306.5	316.60
34	316.0	324.84
35	325.5	334.95
36	335.0	344.87
37	344.5	354.57
