926A	2.00	19981120	1	From IR ODP 154. p.155
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	3.93
2	4.0	13.65
3	13.5	22.93
4	23.0	32.83
5	32.5	42.33
6	42.0	52.04
7	51.5	61.30
8	61.0	70.82
9	70.5	80.56
10	80.0	89.99
11	89.5	99.21
12	99.0	108.65
13	108.5	117.84
14	118.0	127.44
15	127.5	136.81
16	137.0	146.99
17	146.5	156.43
18	156.0	165.11
19	165.5	175.54
20	175.0	184.86
21	184.5	194.32
22	194.0	203.99
23	203.5	213.40
24	213.0	223.26
25	222.5	232.709
26	232.0	241.94
27	241.5	251.67
28	251.0	260.98
29	260.5	270.55
30	270.0	279.95
31	279.5	289.53
32	289.0	298.89
33	298.5	306.58
34	308.0	318.08
35	317.5	325.31
