926c	2.00	19981123	1	From IR ODP 154, p.155
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	9.87
2	10.0	19.76
3	19.5	29.20
4	29.0	38.68
5	38.5	48.19
6	48.0	57.75
7	57.5	67.23
8	67.0	76.75
9	76.5	86.50
10	86.0	95.15
11	95.5	105.24
12	105.0	114.87
13	114.5	124.08
14	124.0	133.86
15	1335	143.01
16	143.0	152.69
17	152.5	162.17
18	162.0	172.07
19	171.5	181.73
20	181.0	191.12
21	190.5	200.51
22	200.0	209.63
23	209.5	219.65
24	219.0	227.76
25	228.5	238.68
26	238.0	247.28
27	247.5	257.13
28	254.0	263.53
29	263.7	272.86
30	273.3	283.06
31	282.9	289.56
32	292.6	302.28
33	302.2	307.36
34	311.9	320.46
35	321.5	329.47
36	331.1	337.65
37	340.8	350.40
38	350.4	359.53
39	360.1	370.02
40	369.7	379.45
41	379.0	388.77
42	388.7	398.52
