952A	2.00	19981026	1	From IR ODP 157, p.139-143
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	9.82
2	9.8	9.65
3	19.3	29.17
4	28.8	38.59
5	38.3	48.27
6	47.8	57.51
7	57.3	67.05
8	66.8	75.35
9	76.3	85.90
10	85.8	105.08
11	95.3	104.72
12	104.8	114.40
13	114.3	123.89
14	123.8	132.84
15	133.3	143.14
16	142.8	151.29
17	149.2	155.45
18	155.6	165.49
19	165.2	175.12
20	174.9	184.70
21	184.5	194.44
22	194.1	204.01
23	203.8	203.67
24	213.4	223.27
25	223.1	231.19
26	232.7	237.27
27	242.4	250.15
28	252.0	256.48
29	261.6	271.49
30	271.3	281.20
31	281.0	290.76
32	290.6	300.49
33	300.2	310.09
34	309.9	319.03
35	319.5	328.35
36	329.2	339.10
37	338.9	348.37
38	348.6	357.48
39	358.2	367.67
40	367.9	377,47
41	377.6	387.50
42	387.2	395.89
43	396.9	406.82
44	406.6	416.08
45	416.2	425.29
