953C	2.00	19981026	1	From IR ODP 157, p.323-329
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	0.29
2	187.0	188.96
3	196.5	200.24
4	206.1	207.96
5	215.8	218.8
6	225.5	226.38
7	235.0	238.65
8	244.6	249.47
9	254.1	259.04
10	263.7	267.91
11	273.4	279.91
12	283.0	286.63
13	292.7	300.99
14	302.4	305.30
15	312.1	315.70
16	321.6	326.26
17	331.1	338.79
18	340.6	346.97
19	350.2	352.90
20	359.8	367.35
21	369.5	377.20
22	379.1	387.44
23	388.6	396.35
24	398.1	404.52
25	407.7	413.78
26	417.3	423.04
27	427.0	433.45
28	436.6	443.05
29	446.2	451.94
30	455.9	461.77
31	465.5	471.53
32	475.2	481.16
33	484.9	491.06
34	494.5	502.09
35	504.1	509.63
36	513.8	520.84
37	523.5	529.65
38	533.2	539.97
39	542.8	551.05
40	552.4	557.42
41	561.9	564.67
42	571.4	573.04
43	581.0	582.15
44	590.7	598.71
45	600.4	604.52
46	610.0	613.28
47	619.6	623.65
48	629.3	636.24
49	638.9	647.65
50	648.5	654.28
51	658.1	665.11
52	667.7	672.70
53	677.4	686.23
54	687.0	694.33
55	696.5	704.23
56	706.0	711.87
57	715.5	722.37
58	725.2	732.93
59	734.9	744.83
60	744.5	749.90
61	754.1	759.19
62	763.6	768.37
63	773.1	773.64
64	782.8	787.04
65	792.4	800.06
66	802.1	807.82
67	811.7	818.89
68	821.4	827.13
69	831.1	837.23
70	840.8	848.72
71	850.4	856.87
72	860.1	868.74
73	869.7	879.61
74	879.4	882.53
75	889.1	889.44
76	898.7	899.53
77	908.3	912.11
78	918.0	920.76
79	927.6	930.98
80	937.2	938.01
81	946.8	948.78
82	956.4	957.59
83	966.0	973.96
84	975.6	984.16
85	985.3	988.38
86	995.0	1002.33
87	1004.6	1008.28
88	1014.2	1014.21
89	1017.2	1022.94
90	1023.7	1029.36
91	1033.2	1037.81
92	1042.9	1044.40
93	1052.6	1059.73
94	1062.2	1068.88
95	1071.9	1079.36
96	1081.5	1089.28
97	1091.2	1097.63
98	1100.9	1110.93
99	1110.5	1120.55
100	1120.2	1127.22
101	1129.8	1136.35
102	1139.4	1141.62
103	1149.1	1157.38
