956B	2.00	19981027	1	From IR ODP 157, p.503-507
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	157.1	162.43
2	166.6	168.37
3	176.1	176.19
4	185.7	185.91
5	195.4	203.93
6	205.1	213.40
7	214.7	212.03
8	224.3	224.30
9	233.9	233.90
10	243.6	251.18
11	253.2	258.65
12	262.8	269.71
13	272.4	276.08
14	282.0	287.59
15	291.7	300.94
16	301.3	309.39
17	310.8	319.83
18	320.3	330.00
19	329.9	338.74
20	339.5	348.90
21	349.2	358.00
22	358.9	367.54
23	368.4	376.26
24	377.9	386.20
25	387.4	394.26
26	397.0	399.38
27	406.7	413.40
28	416.4	419.81
29	426.0	430.49
30	435.7	437.52
31	445.3	446.40
32	455.0	459.58
33	464.6	468.72
34	474.3	477.16
35	483.9	488.78
36	493.6	495.90
37	503.3	506.87
38	512.9	517.23
39	522.6	526.90
40	532.3	535.09
41	541.9	545.25
42	551.5	555.03
43	561.1	569.17
44	570.7	578.44
45	580.4	585.22
46	590.0	595.11
47	599.6	603.17
48	609.3	615.24
49	619.0	625.58
50	628.7	636.90
51	638.2	648.09
52	647.6	653.56
53	657.3	663.30
54	666.9	668.75
55	676.6	681.38
56	686.3	690.94
57	696.0	697.21
