959D	2.00	19990203	1	From IR ODP 1594, p.70-71
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	417.8	426.28
2	427.3	427.58
3	436.8	437.01
4	446.4	446.79
5	455.8	455.91
6	465.3	465.39
7	469.3	469.47
8	475.0	476.34
9	484.6	492.10
10	494.2	497.52
11	503.8	505.58
12	513.6	518.52
13	523.2	528.33
14	532.8	535.88
15	542.4	543.57
16	552.1	557.27
17	561.8	569.93
18	571.4	578.72
19	580.9	581.64
20	590.6	595.14
21	600.2	609.33
22	609.7	619.10
23	619.3	627.25
24	629.0	638.55
25	638.7	645.67
26	648.3	657.37
27	658.0	667.89
28	667.6	677.39
29	677.2	683.76
30	686.9	695.68
31	696.6	703.75
32	706.2	710.46
33	715.9	719.22
34	725.5	732.76
35	735.2	745.14
36	744.9	761.19
37	754.5	759.53
38	764.2	765.16
39	773.8	781.0o
40	783.5	792.21
41	793.0	801.68
42	802.6	806.73
43	812.3	821.95
44	821.9	831.87
45	831.6	832.71
46	841.3	843.16
47	850.9	851.74
48	860.6	868.73
49	870.2	878.90
50	879.9	887.53
51	889.2	888.77
52	898.8	904.24
53	908.5	918.66
54	918.1	922.29
55	927.8	937.73
56	937.4	947.34
57	947.1	953.91
58	956.8	961.62
59	966.5	973.77
60	976.1	983.71
61	985.8	991.20
62	995.4	1000.17
63	1005.0	1014.29
64	1014.7	1022.74
65	1024.1	1033.98
66	1033.7	1043.38
67	1043.3	1046.45
68	1053.0	1054.20
69	1062.7	1063.55
70	1072.4	1072.70
71	1081.7	1083.13
72	1091.2	1096.51
73	1100.8	1103.59
74	1110.5	1113.23
75	1120.2	1122.14
76	1129.8	1132.42
77	1139.5	1142.07
78	1149.2	1158.76
