966F	2.00	19990113	1	From IR ODP 160, p.160
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	59.0	60.37
2	68.0	68.39
3	77.0	80.56
4	86.6	87.30
5	96.2	96.20
6	105.8	106.02
7	115.4	117.25
8	125.0	125.87
9	134.6	134.76
10	144.2	146.48
11	153.8	156.96
12	163.5	165.38
13	173.1	174.12
14	182.7	184.20
15	192.4	194.39
16	202.0	205.62
17	211.6	215.82
18	221.3	223.33
19	231.0	234.52
20	240.6	240.70
21	250.3	250.55
22	259.9	260.04
23	269.4	270.06
24	279.0	279.10
25	288.6	288.80
26	298.3	302.60
27	307.9	315.04
28	317.5	325.19
29	327.1	330.62
30	336.8	340.87
31	346.4	349.81
