967E	2.00	19990113	1	From IR ODP 160, p.221
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	109.5	111.81
2	119.1	119.73
3	128.7	132.33
4	138.3	142.46
5	148.0	153.57
6	157.7	160.96
7	167.3	168.08
8	176.9	179.01
9	186.5	189.90
10	196.2	200.07
11	205.8	209.14
12	215.4	219.30
13	225.1	227.92
14	234.7	237.45
15	244.3	246.93
16	253.9	257.59
17	263.5	265.81
18	273.1	276.68
19	282.7	283.65
20	292.3	293.75
21	301.9	303.18
22	311.6	312.58
23	321.2	321.60
24	330.8	331.68
25	340.5	344.20
26	350.1	350.90
27	359.7	360.18
28	369.3	370.51
29	378.8	380.70
30	388.4	388.90
31	398.4	398.50
32	407.7	408.26
33	417.5	417.72
34	427.0	427.09
35	436.6	436.75
36	446.2	446.31
37	455.9	456.02
38	465.5	465.50
39	475.1	475.24
40	484.8	484.80
41	494.4	495.17
42	504.0	504.09
43	513.6	513.60
44	523.2	523.26
45	532.8	532.91
46	542.5	542.65
47	552.1	552.10
48	563.8	563.80
49	571.4	571.51
50	581.0	581.10
51	590.6	590.67
