975B	2.00	19990506	From IR ODP 161, p.117
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	4.16
2	4.1	14.08
3	13.6	23.44
4	23.1	32.75
5	32.6	42.59
6	42.1	51.93
7	51.6	59.97
8	61.1	70.91
9	70.6	80.56
10	80.1	89.91
11	89.6	99.73
12	99.1	108.45
13	108.6	118.66
14	118.1	128.22
15	127.6	137.75
16	137.1	147.16
17	146.6	152.35
18	156.3	165.93
19	166.3	171.28
20	176.4	176.45
21	186.4	196.20
22	196.2	206.06
23	206.2	216.09
24	215.9	224.82
25	225.4	235.24
26	235.1	244.97
27	244.8	254.06
28	254.5	264.31
29	264.1	274.03
30	273.6	283.51
31	283.3	293.27
32	292.8	302.75
33	302.4	307.26
34	310.0	314.13
