976E	2.00	19990507	1	From IR ODP 161, p.187-188
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	543.8	550.86
2	553.4	553.40
3	563.1	563.22
4	572.7	572.70
5	577.3	577.30
6	582.3	589.87
7	592.0	594.20
8	601.7	601.85
9	611.3	611.30
10	620.9	627.03
11	630.6	636.01
12	640.2	649.65
13	649.8	653.32
14	659.4	664.00
15	664.0	666.96
16	669.0	670.87
17	673.7	675.62
18	678.7	679.20
19	683.3	684.49
20	688.3	690.03
21	692.9	695.91
22	697.9	699.91
23	702.5	704.37
24	707.5	708.23
25	712.1	713.78
26	717.1	717.10
27	721.7	721.83
28	726.7	727.65
