987D	2.00	19991013	1	From IR ODP 162, p.349
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	1.30
2	1.3	11.07
3	10.8	20.59
4	20.3	30.11
5	29.8	39.65
6	39.3	49.12
7	48.8	58.62
8	58.3	68.20
9	67.8	76.60
10	76.6	86.70
11	86.1	94.81
12	94.8	99.92
13	103.4	113.03
14	113.0	117.61
15	122.6	132.29
16	132.3	140.41
17	141.9	151.04
18	151.6	161.18
19	161.2	168.66
20	170.9	178.63
21	176.5	176.52
22	180.5	180.50
23	190.2	190.20
24	199.8	201.66
25	209.40	219.05
26	219.0	228.80
27	228.6	238.06
28	238.2	242.50
29	247.9	256.94
30	257.5	267.16
31	267.1	276.67
32	276.8	284.16
33	286.4	286.57
34	296.0	299.60
35	302.6	303.14
36	305.6	315.11
37	315.2	315.96
38	324.8	326.40
39	334.4	336.08
40	344.0	347.20
41	353.7	360.33
42	363.3	364.59
