997B	00	20000508	1	From IR ODP 164, p.281
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	318.5	321.84
2	328.1	331.94
3	337.7	343.09
4	414.2	416.17
5	423.8	428.23
6	433.4	433.64
7	434.4	434.40
8	443.0	452.58
9	452.6	452.73
10	462.2	462.34
11	463.2	470.35
12	471.8	477.20
13	481.5	486.91
14	491.1	496.25
15	500.8	501.10
16	501.8	511.54
17	510.4	512.51
18	520.0	529.47
19	529.6	536.63
20	539.2	545.43
21	548.8	549.74
22	549.8	558.64
23	558.4	567.99
24	568.0	575.53
25	577.6	577.60
26	578.6	583.72
27	587.2	596.29
28	596.9	603.16
29	606.5	614.78
30	616.1	620.57
31	625.7	635.70
32	635.3	635.30
33	636.3	644.38
34	644.9	646.46
35	654.5	663.56
36	664.1	664.10
37	665.1	673.69
38	673.8	683.61
39	683.4	692.51
40	693.0	693.00
41	694.0	695.17
42	702.6	706.69
43	712.2	720.77
44	721.8	721.80
45	722.8	730.87
46	731.40	740.15
47	741.10	749.82
