150X-AC	2.00	19980805	1	From IR ODP 150X, p.38-40, conv. to m
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	4.1356
2	9.5	14.0927
3	19.0	22.8295
4	28.5	32.5539
5	38.0	43.3950
6	47.5	55.4280
7	57.0	61.8745
8	66.5	73.2360
9	76.0	80.9378
10	85.5	86.8107
11	95.0	95.0
12	104.5	104.5
13	114.0	117.6222
14	123.5	132.8172
15	133.0	142.3568
16	142.5	150.5429
17	152.0	158.5130
18	161.5	167.2510
19	171.0	180.5305
20	180.5	189.8658
21	190.0	199.7438
22	199.5	208.0108
23	209.0	217.8697
24	218.5	225.7847
25	228.0	233.7758
26	237.5	243.4033
27	247.0	254.6406
28	256.5	265.0552
29	266.0	270.8148
30	275.5	280.8156
31	285.0	287.0302
32	294.5	298.2491
33	304.0	304.9144
34	313.5	316.7191
35	323.0	330.5646
36	332.5	340.7808
37	342.0	350.9819
38	351.5	359.1102
39	361.0	368.3664
40	370.5	380.1223
41	380.0	389.8353
42	389.5	398.5123
43	399.0	406.8166
44	408.5	416.5135
45	418.0	425.9150
46	427.5	435.4761
47	437.0	441.7466
