150X-CM	2.00	19980810	1	From IR ODP 150X suppl., p.10-13, in m
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	4.8718
2	9.5	17.3388
3	19.0	26.4121
4	28.5	37.8781
5	38.0	45.5188
6	47.5	53.4314
7	57.0	65.1003
8	66.5	74.7675
9	76.0	84.7477
10	85.5	91.4313
11	95.0	101.9946
12	104.5	112.6540
13	114.0	120.4264
14	123.5	131.9636
15	133.0	139.6959
16	142.5	150.7541
17	152.0	159.3304
18	161.5	168.7005
19	171.0	175.2600
20	180.5	182.7127
21	190.0	199.2867
22	199.5	207.3083
23	209.0	215.6460
24	218.5	219.4449
25	228.0	233.0597
26	237.5	242.8849
27	247.0	251.9280
28	256.5	263.2872
29	266.0	274.6466
30	275.5	282.9578
31	285.0	293.0674
32	294.5	303.0552
33	304.0	310.6653
34	313.5	322.2345
35	323.0	331.2233
36	332.5	340.3172
37	342.0	348.6349
38	351.5	356.8852
39	361.0	369.4027
40	370.5	376.6167
41	380.0	388.1284
42	389.5	398.6175
43	399.0	405.3470
44	408.5	416.3236
45	418.0	427.1925
46	427.5	437.2923
47	437.0	446.5762
48	446.5	455.9351
