150X-IB	2.00	19980730	1	From IR ODP 150X, p.8-11, conv. to m
CORE	TOP DEPTH	BOTTOM DEPTH OR BASE RECOVERED SEDS
1	0	5.7205
2	9.5	15.0267
3	19.0	26.4383
4	28.5	37.3176
5	38.0	46.1991
6	47.5	55.6558
7	57.0	65.3112
8	66.5	75.2685
9	76.0	85.4727
10	85.5	94.6952
11	95.0	104.1196
12	104.5	112.2162
13	114.0	122.7409
14	123.5	132.8172
15	133.0	139.8482
16	142.5	152.0305
17	152.0	160.2199
18	161.5	167.3200
19	171.0	176.0724
20	180.5	186.5986
21	190.0	193.2394
22	199.5	208.6953
23	209.0	218.6982
24	218.5	228.2438
25	228.0	237.8355
26	237.5	248.8235
27	247.0	256.3559
28	256.5	266.2866
29	266.0	275.6611
30	275.5	285.1132
31	285.0	293.7685
32	294.5	304.1219
33	304.0	313.3781
34	313.5	320.1958
35	323.0	333.0182
36	332.5	342.2439
37	342.0	348.6500
38	351.5	361.2946
39	361.0	364.1852
40	370.5	371.4144
