Paleomag Scale
paleomag_scale_name	chron_name	chron_alias	chron_polarity_dir	chron_age_min_ma	chron_age_max_ma	chron_id	parent_chron_id
CK95	C1			0.000	1.770	243	243
CK95	C1n	Brunhes	N	0.000	0.780	244	243
CK95	C1r.1r	Matuyama	R	0.780	0.990	245	243
CK95	C1r.1n	Jaramillo	N	0.990	1.070	246	243
CK95	C1r.2r		R	1.070	1.201	247	243
CK95	C1r.2n	Cobb Mountain	N	1.201	1.211	248	243
CK95	C1r.3r		R	1.211	1.770	249	243
CK95	C2			1.770	2.581	250	250
CK95	C2n	Olduvai	N	1.770	1.950	251	250
CK95	C2r.1r		R	1.950	2.140	252	250
CK95	C2r.1n	Reunion	N	2.140	2.150	253	250
CK95	C2r.2r	Matuyama	R	2.150	2.581	254	250
CK95	C2A			2.581	4.180	255	255
CK95	C2An.1n	Gauss	N	2.581	3.040	256	255
CK95	C2An.1r	Kaena	R	3.040	3.110	257	255
CK95	C2An.2n		N	3.110	3.220	258	255
CK95	C2An.2r	Mammoth	R	3.220	3.330	259	255
CK95	C2An.3n	Gauss	N	3.330	3.580	260	255
CK95	C2Ar	Gilbert	R	3.580	4.180	261	255
CK95	C3			4.180	5.894	262	262
CK95	C3n.1n	Cochiti	N	4.180	4.290	263	262
CK95	C3n.1r		R	4.290	4.480	264	262
CK95	C3n.2n	Nunivak	N	4.480	4.620	265	262
CK95	C3n.2r		R	4.620	4.800	266	262
CK95	C3n.3n	Sidufjall	N	4.800	4.890	267	262
CK95	C3n.3r		R	4.890	4.980	268	262
CK95	C3n.4n	Thvera	N	4.980	5.230	269	262
CK95	C3r	Gilbert	R	5.230	5.894	270	262
CK95	C3A			5.894	6.935	271	271
CK95	C3An.1n		N	5.894	6.137	272	271
CK95	C3An.1r		R	6.137	6.269	273	271
CK95	C3An.2n		N	6.269	6.567	274	271
CK95	C3Ar		R	6.567	6.935	275	271
CK95	C3B			6.935	7.432	276	276
CK95	C3Bn		N	6.935	7.091	277	276
CK95	C3Br.1r		R	7.091	7.135	278	276
CK95	C3Br.1n		N	7.135	7.170	279	276
CK95	C3Br.2r		R	7.170	7.341	280	276
CK95	C3Br.2n		N	7.341	7.375	281	276
