751A	2	CK95	CSC		"Harwood Leg 120, mod. after Berggren 1995"		
GROUP	NAME/COMMENTS	PLOTCODE	YOUNG AGE	OLD AGE	TOP DEPTH	BOT DEPTH
D	LAD N. barronii	tNb	1.32		"1-1,105"	"1-1,145"
D	LAD T. fasciculatus	tTfa	1.69		"1-1,145"	"1-3,10"
D	FAD A. fasciculatus	bAf	1.796		"1-3,51"	"2-1,105"
D	LAD T. inura	tTi	1.848		"2-1,105"	"2-2,10"
D	LAD Thalassiosira kolbei	tTk	1.848		"2-1,105"	"2-2,10"
D	LAD T. torokina	tTt	1.901		"1-1,105"	"1-1,145"
D	FAD A. hookeri	bAh	2.324		"2-2,10"	"2-2,105"
D	FAD T. gracilis	bTg	2.324		"2-1,105"	"2-2,10"
D	LAD T. vulnifica	tTv	2.324		"2-1,105"	"2-2,10"
D	LAD R. heteropolara	tRh	2.642		2-CC	"3-1,47"
D	LAD T. insigna	tTis	2.642		"1-3,51"	"2-1,105"
D	LAD N. weaveri	tNwe	2.803		"2-2,10"	"2-2,105"
D	LAD T. complicata	tTco	2.986		"2-3,10"	"2-3,105"
D	FAD A. actinochilus	bAa	3.216		"2-2,10"	"2-2,105"
D	LAD T. striata	tTst	3.216		"2-3,10"	"2-3,105"
D	FAD N. kerguelensis	bNk	3.331		"2-2,10"	"2-2,105"
D	FAD N. weaveri	bNwe	3.445		"2-3,105"	"2-4,10"
D	FAD T. insigna	bTis	3.445		"2-4,10"	2-CC
D	FAD T. lentiginosa ovalis	bTlo	3.445		"2-3,105"	"2-4,10"
D	FAD T. vulnifica	bTv	3.445		"2-3,10"	"2-3,105"
D	LAD N. reinholdii	tNr	3.445		2-CC	"3-1,47"
D	FAD N. curta	bNcu	3.732		"3-1,47"	"3-1,105"
D	FAD N. ritscherii	bNri	3.79		"3-1,105"	"3-2,10"
D	LAD N. praeinterfrigidaria	tNpi	3.79		"2-3,10"	"2-3,105"
D	LAD N. wisei	tNw	3.79		"3-1,47"	"3-1,105"
D	LAD N. arcula	tNa	3.904		3-CC	"4-2,105"
D	LAD N. praecurta	tNpc	3.904		3-CC	"4-2,105"
D	FAD Nitzschia interfrigidaria	bNi	4.076		"3-4,105"	"3-5,10"
D	LAD N. aurica	tNau	4.134		3-CC	"4-2,105"
D	FAD T. lentiginosa	bTl	4.249		"3-6,10"	3-CC
D	LAD R. costata	tRc	4.249		3-CC	"4-2,105"
D	LAD T. nitzschioides parva	tTnp	4.249		"4-4,105"	"4-5,10"
D	FAD T. kolbei	bTk	4.363		"4-2,105"	"4-3,10"
D	FAD T. striata	bTst	4.478		"4-2,105"	"4-3,10"
D	FAD A. parvulus	bAp	4.593		"4-5,10"	"4-5,105"
D	FAD Nitzschia barronii	bNb	4.593		3-CC	"4-2,105"
D	FAD N. wisei	bNw	4.593		"4-4,10"	"4-4,105"
D	FAD R. diploneides	bRd	4.593		"4-4,10"	"4-4,105"
D	FAD T. fasciculatus	bTfa	4.593		"4-4,105"	"4-5,10"
D	FAD N. lacrima	bNl	4.708		"5-2,10"	"5-2,105"
D	FAD Rouxia heteropolara	bRh	4.708		"5-1,10"	"5-1,105"
D	FAD Thalassiosira complicata	bTc	4.708		"4-4,105"	"4-5,10"
D	FAD N. praeinterfrigidaria	bNpi	4.995		"5-2,10"	"5-2,105"
D	FAD Thalassiosira oestrupii	bTo	5.752		"5-2,10"	"5-2,105"
D	LAD A. ingens var. A	tAiA	5.87		"5-2,105"	"5-3,10"
D	LAD N. donahuensis	tNdo	5.87		"5-3,10"	"5-3,105"
D	FAD T. inura	bTi	5.987		"5-2,10"	"5-2,105"
D	LAD A. concavus	tAco	6.105		"5-3,10"	"5-3,105"
D	LAD Asteromphalus kennettii	tAk	6.34		"5-2,10"	"5-2,105"
D	LAD H. karstenii f. 1	tHk1	6.34		"5-4,10"	"5-4,105"
D	LAD H. ovalis	tHo	6.34		"5-4,10"	"5-4,105"
D	FAD N. reinholdii	bNr	6.457		"5-5,10"	5-CC
D	FAD T. oliverana	bTol	6.457		"5-5,10"	5-CC
D	FAD H. ovalis	bHo	8.096		"5-5,10"	5-CC
D	FAD T. oliverana sparsa	bTos	8.647		"5-5,10"	5-CC
D	LAD D. dimorpha	tDd	8.867		"3-6,10"	3-CC
D	FAD H. karstenii f. 1	bHk1	8.977		"5-5,10"	5-CC
D	FAD Thalassiosira torokina	bTt	9.087		"5-4,105"	"5-5,10"
D	FAD H. karstenii	bHk	9.597		"5-5,10"	5-CC
D	FAD N. donahuensis	bNdo	9.597		"6-5,105"	"6-6,105"
D	FAD Asteromphalus kennettii	bAk	10.196		"8-5,105"	8-CC
D	LAAD Denticulopsis dimorpha	tADd	10.571		"9-3,105"	"9-4,105"
D	LAD Denticulopsis praedimorpha	tDpr	11.508		"11-2,105"	"11-3,105"
D	LAD Nitzschia denticuloides	tNd	11.603		"8-5,105"	8-CC
D	FAD Denticulopsis dimorpha	bDd	12.176		"12-1,105"	"12-2,105"
D	LAD D. nicobarica	tDn	12.271		"12-2,105"	"12-3,105"
D	LAD Actinocyclus ingens v. nodus	tAin	12.543		"12-1,105"	"12-2,105"
D	FAD S. barboi	bSb	12.717		"14-4,105"	"14-5,105"
D	FAD Denticulopsis praedimorpha	bDpr	12.804		"12-3,105"	"12-4,105"
D	LAD Nitzschia grossepunctata	tNg	12.804		"12-3,105"	"12-4,105"
D	LAD C. lewisianus	tCl	13.325		"13-3,105"	"13-4,105"
D	FAD Nitzschia denticuloides	bNd	13.498		12-CC	"13-1,105"
D	LAD R. marylandica	tRma	14.032		"14-3,105"	"14-4,105"
D	LAD Nitzschia maleinterpretaria	tNmal	14.123		"15-6,105"	15-CC
D	FAD Denticulopsis hustedtii	bDh	14.214		"13-2,105"	"13-3,105"
D	LAD Denticulopsis maccollumii	tDm	14.214		"12-2,105"	"12-3,105"
D	FAD Actinocyclus ingens v. nodus	bAin	14.489		"13-5,105"	"13-6,105"
D	LAD S. jouseana	tSj	14.671		"14-3,105"	"14-4,105"
D	FAD D. hyalina	bDhy	14.933		"13-1,105"	"13-2,105"
D	FAD D. lauta	bDl	15.807		"13-1,105"	"13-2,105"
D	FAD Nitzschia grossepunctata	bNg	15.807		"15-1,105"	"15-2,105"
D	FAD Actinocyclus ingens	bAi	16.079		14-CC	"15-1,105"
D	FAD Denticulopsis maccollumii	bDm	16.967		15-CC	"16-1,105"
D	FAD Crucidenticula nicobarica	bCn	17.552		13-CC	"14-1,105"
D	FAD C. kanayae	bCk	17.744		16-CC	"17-1,105"
D	LAD C. rhombicus	tCr	17.84		16-CC	"17-1,105"
D	LAD Thalassiosira fraga	tTf	18.32		16-CC	"17-2,105"
F	TOP Globorotalia praescitula	Tpsct	11.9		"12-7,32"	12-CC
F	TOP Globorotalia miozea	Tmza	15.9		"12-7,32"	12-CC
F	BT Globorotalia miozea	Bmza	16.7		"14-3,32"	"14-4,32"
F	TOP Globorotalia zealandica	Tzld	17.3		"14-3,32"	"14-4,32"
F	BT Globorotalia zealandica	Bzld	17.3		16-CC	"17-1,32"
F	TOP Globorotalia semivera	Tsmv	17.3		16-CC	"17-1,32"
F	TOP Globorotalia incognita 	Tigt	16.4		16-CC	"17-1,32"
F	TOP Catapsydrax dissimilis	TCds	17.3		"17-5,32"	"17-6,32"
F	BT Globorotalia praescitula	Bpsc	18.5		"17-6,32"	"17-7,32"
F	BT Globorotalia incognita	Bigt	21.6		"18-3,32"	"18-4,32"
M	3A/chron 5	T3AN2	6.269		36.5	
M	3A/chron 5	B3AN2	6.567		41	
M	4A/chron 9	T4AN2	9.23		43.6	
M	4A/chron 9	B4AN2	9.308		44.9	
M	4A/chron 10	T4AN3	9.58		45.2	
M	4A/chron 10	B4AN3	9.642		49	
M	5/chron 11	T5N1	9.74		50.75	
M	C5A	B5AN1	12.078		99.7	
M	C5A	T5AN2	12.184		102	
M	C5AA	T5AAN1	12.991		104	
M	C5AA	B5AAN1	13.139		105.5	
M	C5AB	T5ABN1	13.302		106	
M	C5AB	B5ABN1	13.51		108	
M	C5AC	T5ACN1	13.703		109.5	
M	C5AC	B5ACN1	14.076		111.8	
M	C5AD	T5ADN1	14.178		113.8	
M	C5AD	B5ADN1	14.612		123.3	
M	C5B	T5BN1	14.8		127.2	
M	C5B	B5BN1	14.888		129.2	
M	C5C	T5CN1	16.014		132.9	
M	C5C	T5CN2	16.327		136.2	
M	C5E	T5EN1	18.281		152.1	
M	C5E	B5EN1	18.781		157.9	
N	T Calcidiscus macintyrei	T Cma	1.59		"7-6,5"	"8-3,5"
N	T Cyclicargolithus floridanus	T  Cfl	11.9		"11-6,5"	"11-7,5"
N	T Reticulofenestra pseudoumbilicus	T Rps	3.75		"7-4,5"	"7-5,5"
R	T Antarctissa cylindrica	TAACY	0.644		"1-1,150"	"1-2,106"
R	T Pterocanium chary. trilobum	TPTTR	0.845		"4-3,98"	"4-4,98"
R	T Cycladophora pliocenica	TCYPL	1.827		"1-3,45"	"2-1,98"
R	B Triceraspyris antarctica	BTRAN	1.954		"1-2,106"	"1-3,45"
R	T Eucyrtidium calvertense	TEUCA	1.954		"2-1,98"	"2-2,98"
R	T Helotholus vema	THEVE	2.45		"2-1,98"	"2-2,98"
R	T Desmospyris spongiosa	TDMSP	2.472		"2-2,98"	"2-3,98"
R	B Cycladophora davisiana	BCYDA	2.642		"2-2,98"	"2-3,98"
R	T Prunopyle titan	TPRTI	3.583		"3-3,98"	"3-4,98"
R	T Lampromitra coronata	TLOCO	3.79		2-CC	"3-1,98"
R	B Helotholus vema	BHEVE	4.593		"4-3,98"	"4-4,98"
R	LCO Lychnocanium grande	LLYGR	5.052		"4-3,98"	"4-4,98"
R	B Acrosphaera labrata	BASLA	7.765		5-CC	"6-1,53"
R	T Cycladophora spongothorax	TCYSP	9.197		"6-1,53"	"6-1,98"
R	FCO Stichocorys peregrina	FSCPE	9.297		5-CC	"6-1,53"
R	LCO Lithomelissa stigi	LLTST	9.365		"6-3,98"	"6-5,50"
R	FCO Lithomelissa stigi	FLTST	9.732		7-CC	"8-2,98"
R	T Cycladophora humerus	TCYHU	10.421		8-CC	"9-1,98"
R	B Eucyrtidium pseudoinflatum	BEUPS	10.496		8-CC	"9-1,98"
R	T Actinomma golownini	TANGO	10.646		"9-2,98"	"9-3,98"
R	B Cycladophora spongothorax	BCYSP	12.543		"11-6,98"	11-CC
R	B Dendrospyris megalocephalis	BDEME	12.674		16-CC	17-CC
R	B Actinomma golownini	BANGO	13.498		12-CC	13-CC
R	B Cycladophora humerus	BCYHU	14.214		12-CC	13-CC
R	B Eucyrtidium punctatum	BEUPU	17.066		16-CC	17-CC
